Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
The Wendell Baker Story;2005;PG-13;99;Comedy, Drama, Romance;Andrew Wilson, Luke Wilson;Luke Wilson;Luke Wilson, Eva Mendes, Jacob Vargas, Owen Wilson;Luke Wilson plays a good-hearted ex-con who gets a job in a retirement hotel. Three elderly residents help him win back his girlfriend as he lends them a hand in fighting hotel corruption.;English, Spanish;USA, Germany;5.5;48120;ThinkFilm
Capote;2005;R;114;Biography, Crime, Drama;Bennett Miller;Dan Futterman (screenplay), Gerald Clarke (book);Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald;In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.;English;USA, Canada;7.4;28337516;Sony Pictures Classics
Cinderella Man;2005;PG-13;144;Biography, Drama, Sport;Ron Howard;Cliff Hollingsworth (screenplay), Akiva Goldsman (screenplay), Cliff Hollingsworth (story);Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko;The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.;English;USA;8.0;61600000;Universal Pictures
Lords of Dogtown;2005;PG-13;107;Biography, Drama, Sport;Catherine Hardwicke;Stacy Peralta;John Robinson, Emile Hirsch, Rebecca De Mornay, William Mapother;The film follows the surf and skateboarding trends that originated in Venice, California during the 1970's.;English, Spanish;USA, Germany;7.1;11008432;Sony Pictures Entertainment
Manderlay;2005;NOT RATED;139;Drama;Lars von Trier;Lars von Trier;Bryce Dallas Howard, Isaach De Bankolé, Danny Glover, Willem Dafoe;A story of slavery, set in the southern U.S. in the 1930s.;English;Denmark, Sweden, Netherlands, France, Germany, UK, Italy;7.4;NULL;IFC Films
Mirrormask;2005;PG;101;Adventure, Fantasy;Dave McKean;Neil Gaiman (story), Dave McKean (story), Neil Gaiman (teleplay);Stephanie Leonidas, Jason Barry, Rob Brydon, Gina McKee;In a fantasy world of opposing kingdoms, a 15-year old girl must find the fabled MirrorMask in order to save the kingdom and get home.;English;UK, USA;6.9;802961;Samuel Goldwyn Films
Dave Chappelle's Block Party;2005;R;103;Documentary, Comedy, Music;Michel Gondry;Dave Chappelle;Dave Chappelle, Erykah Badu, Isaac ben Ayala, Yasiin Bey;A mix of Dave Chappelle's sketch comedy and musical interludes, inspired in part by the 1973 documentary Wattstax.;English;USA;7.2;11700000;Rogue Pictures
Transamerica;2005;R;103;Adventure, Comedy, Drama;Duncan Tucker;Duncan Tucker;Andrea James, Felicity Huffman, Danny Burstein, Maurice Orozco;A pre-operative male-to-female transgender takes an unexpected journey when she learns that she fathered a son, now a teenage runaway hustling on the streets of New York.;English, Spanish;USA;7.4;8713873;Weinstein Company
The Descent;2005;R;99;Adventure, Horror, Thriller;Neil Marshall;Neil Marshall;Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder;A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.;English;UK;7.2;26005908;Lionsgate
Black;2005;NOT RATED;122;Drama;Sanjay Leela Bhansali;Sanjay Leela Bhansali (screenplay), Bhavani Iyer (English dialogue), Bhavani Iyer (screenplay), Prakash Kapadia (dialogue), Prakash Kapadia (screenplay);Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor;The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.;Hindi, English;India;8.2;125342;Evokative Films
