Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Prison;1987;R;102;Crime, Drama, Horror;Renny Harlin;Irwin Yablans (story), C. Courtney Joyner (screenplay);Viggo Mortensen, Chelsea Field, Lane Smith, Lincoln Kilpatrick;The spirit of a long-dead prisoner returns for revenge, haunting the prison's new governor.;English;USA;5.9;NULL;New World Video
The Princess Bride;1987;PG;98;Adventure, Family, Fantasy;Rob Reiner;William Goldman (book), William Goldman (screenplay);Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest;While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.;English;USA;8.1;NULL;20th Century Fox
Full Metal Jacket;1987;R;116;Drama, War;Stanley Kubrick;Gustav Hasford (novel), Stanley Kubrick (screenplay), Michael Herr (screenplay), Gustav Hasford (screenplay);Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;English, Vietnamese;UK, USA;8.3;NULL;Warner Bros.
The Brave Little Toaster;1987;NOT RATED;90;Animation, Adventure, Comedy;Jerry Rees;Thomas M. Disch (based on the novella by), Jerry Rees (screenplay), Joe Ranft (screenplay), Jerry Rees (screen story by), Joe Ranft (screen story by), Brian McEntee (screen story by);Jon Lovitz, Timothy Stack, Timothy E. Day, Thurl Ravenscroft;A group of dated appliances embarks on a journey to the city to find its master after being abandoned in its cabin in the woods.;English;USA, Taiwan, Japan;7.3;NULL;Kushner-Locke Productions
Wall Street;1987;R;126;Crime, Drama;Oliver Stone;Stanley Weiser, Oliver Stone;Charlie Sheen, Tamara Tunie, Franklin Cover, Chuck Pfeiffer;A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.;English;USA;7.4;NULL;20th Century Fox
Predator;1987;R;107;Action, Sci-Fi, Thriller;John McTiernan;Jim Thomas, John Thomas;Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke;A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.;English, Spanish, Russian;USA;7.8;NULL;20th Century Fox
Evil Dead II;1987;R;84;Comedy, Horror;Sam Raimi;Sam Raimi, Scott Spiegel;Bruce Campbell, Sarah Berry, Dan Hicks, Kassie Wesley DePaiva;The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.;English, Latin;USA;7.8;NULL;Rosebud Communications Releasing
The Running Man;1987;R;101;Action, Sci-Fi, Thriller;Paul Michael Glaser;Stephen King (novel), Steven E. de Souza (screenplay);Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown;A wrongly convicted man must try to survive a public execution gauntlet staged as a game show.;English;USA;6.6;NULL;Vestron Video
The Last Emperor;1987;PG-13;163;Biography, Drama, History;Bernardo Bertolucci;Mark Peploe (screenplay), Bernardo Bertolucci (screenplay), Enzo Ungari (initial screenplay collaboration);John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying;The story of the final Emperor of China.;English, Mandarin, Japanese, Russian;UK, Italy, China, France, USA;7.8;NULL;Columbia Pictures
Good Morning, Vietnam;1987;R;121;Biography, Comedy, Drama;Barry Levinson;Mitch Markowitz;Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana;In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.;English;USA;7.3;NULL;Buena Vista Pictures
Ishtar;1987;PG-13;107;Action, Adventure, Comedy;Elaine May;Elaine May;Warren Beatty, Dustin Hoffman, Isabelle Adjani, Charles Grodin;Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime.;English;USA;4.2;NULL;Sony Pictures Home Entertainment
Jaws: The Revenge;1987;PG-13;89;Adventure, Horror, Thriller;Joseph Sargent;Peter Benchley (characters), Michael De Guzman;Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young;Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.;English;USA;2.9;NULL;Universal Pictures
Leonard Part 6;1987;PG;85;Action, Comedy, Sci-Fi;Paul Weiland;Jonathan Reynolds (screenplay), Bill Cosby (story);Bill Cosby, Tom Courtenay, Joe Don Baker, Moses Gunn;A secret agent is called out of retirement to save the world from an evil genius.;English;USA;2.2;NULL;Sony Pictures Home Entertainment
Fatal Attraction;1987;R;119;Drama, Thriller;Adrian Lyne;James Dearden (screenplay), James Dearden (short film);Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen;A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.;English;USA;6.9;NULL;Paramount Pictures
Maurice;1987;R;140;Drama, Romance;James Ivory;E.M. Forster (from the novel by), Kit Hesketh-Harvey (screenplay), James Ivory (screenplay);James Wilby, Hugh Grant, Rupert Graves, Denholm Elliott;After his lover rejects him, a young man trapped by the oppressiveness of Edwardian society tries to come to terms with and accept his sexuality.;English;UK;7.7;NULL;Cinecom Pictures
Hellraiser;1987;R;94;Horror, Thriller;Clive Barker;Clive Barker;Andrew Robinson, Clare Higgins, Ashley Laurence, Sean Chapman;"An unfaithful wife encounters the zombie of her dead lover; demons are pursuing him after he escaped their sadomasochistic underworld.";English;UK;7.0;NULL;New World Video
The Barbarians;1987;R;87;Fantasy, Adventure;Ruggero Deodato;Alberto Piferi (dubbing dialogue), James R. Silke (screenplay), James R. Silke (story);Peter Paul, David Paul, Richard Lynch, Eva LaRue;Two twin barbarians seek revenge from the warlord who massacred their tribe and captured them when they were small children.;English, Italian;USA, Italy;4.9;NULL;Media Home Entertainment
Hollywood Shuffle;1987;R;78;Comedy;Robert Townsend;Robert Townsend, Keenen Ivory Wayans;Robert Townsend, Craigus R. Johnson, Helen Martin, Starletta DuPois;An actor limited to stereotypical roles because of his ethnicity, dreams of making it big as a highly respected performer. As he makes his rounds, the film takes a satiric look at African American actors in Hollywood.;English;USA;7.0;NULL;Virgin Vision
Beverly Hills Cop II;1987;R;100;Action, Comedy, Crime;Tony Scott;Danilo Bach (characters), Daniel Petrie Jr. (characters), Eddie Murphy (story), Robert D. Wachs (story), Larry Ferguson (screenplay), Warren Skaaren (screenplay);Eddie Murphy, Judge Reinhold, Jürgen Prochnow, Ronny Cox;"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of """"alphabet crimes"""" associated with it.";English;USA;6.5;NULL;Paramount Pictures
Teen Wolf Too;1987;PG;95;Comedy, Fantasy;Christopher Leitch;Jeph Loeb (characters), Matthew Weisman (characters), Jeph Loeb (story), Matthew Weisman (story), Tim Kring (screenplay);Jason Bateman, Kim Darby, John Astin, Paul Sand;Todd Howard is a struggling teenager. Nothing seems to be going very well for him, until he turns into a wolf.;English;USA;3.2;NULL;Paramount Home Video
Superman IV: The Quest for Peace;1987;PG;90;Action, Adventure, Family;Sidney J. Furie;Joe Shuster (character created by: Superman), Jerry Siegel (character created by: Superman), Christopher Reeve (story), Lawrence Konner (story), Mark Rosenthal (story), Lawrence Konner (screenplay), Mark Rosenthal (screenplay);Christopher Reeve, Gene Hackman, Jackie Cooper, Marc McClure;The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man.;English, Russian, French, Italian;UK, USA;3.6;NULL;Warner Home Video
La Bamba;1987;PG-13;108;Biography, Drama, Music;Luis Valdez;Luis Valdez;Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña;Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and the Big Bopper.;English;USA;6.8;NULL;Columbia Pictures
Spaceballs;1987;PG;96;Adventure, Comedy, Sci-Fi;Mel Brooks;Mel Brooks, Thomas Meehan, Ronny Graham;Mel Brooks, John Candy, Rick Moranis, Bill Pullman;Planet Spaceballs' President Skroob sends Lord Dark Helmet to steal planet Druidia's abundant supply of air to replenish their own, and only Lone Starr can stop them.;English;USA;7.1;NULL;MGM
Mr. India;1987;NULL;179;Action, Adventure, Comedy;Shekhar Kapur;Javed Akhtar, Salim Khan;Anil Kapoor, Sridevi, Amrish Puri, Satish Kaushik;A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of India from the clutches of a megalomaniac.;Hindi;India;7.8;NULL;NULL
3 Men and a Baby;1987;PG;102;Comedy, Drama, Family;Leonard Nimoy;Coline Serreau (screenplay), James Orr (screenplay), Jim Cruickshank (screenplay);Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis;Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.;English;USA;5.9;NULL;Disney
From a Whisper to a Scream;1987;R;99;Action, Drama, Horror;Jeff Burr;C. Courtney Joyner, Mike Malone (additional story material), Darin Scott, Jeff Burr, Mike Malone (additional story material);Vincent Price, Clu Gulager, Terry Kiser, Harry Caesar;In a small Tennessee town, an historian relates four horror stories to a reporter.;English;USA;5.9;NULL;Conquest Entertainment
A Nightmare on Elm Street 3: Dream Warriors;1987;R;96;Action, Fantasy, Horror;Chuck Russell;Wes Craven (story), Bruce Wagner (story), Wes Craven (screenplay), Bruce Wagner (screenplay), Frank Darabont (screenplay), Chuck Russell (screenplay), Wes Craven (characters);Heather Langenkamp, Craig Wasson, Patricia Arquette, Robert Englund;Survivors of undead serial killer Freddy Krueger - who stalks his victims in their dreams - learn to take control of their own dreams in order to fight back.;English;USA;6.6;NULL;Media Home Entertainment
Radio Days;1987;PG;88;Comedy;Woody Allen;Woody Allen;Mike Starr, Paul Herman, Don Pardo, Martin Rosenblatt;A nostalgic look at radio's golden age focusing on one ordinary family and the various performers in the medium.;English, Spanish, Italian;USA;7.6;NULL;MGM
Nayakan;1987;NOT RATED;145;Crime, Drama;Mani Ratnam;Balakumaran (dialogue), Rajasri (Telugu dialogue), Mani Ratnam;Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janagaraj;A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.;Tamil, Hindi, English;India;8.8;NULL;NULL
The Living Daylights;1987;PG;130;Action, Adventure, Thriller;John Glen;Richard Maibaum (screenplay), Michael G. Wilson (screenplay);Timothy Dalton, Maryam d'Abo, Jeroen Krabbé, Joe Don Baker;James Bond is living on the edge to stop an evil arms dealer from starting another world war. Bond crosses all seven continents in order to stop the evil Whitaker and General Koskov.;English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pushto;UK;6.7;NULL;MGM Home Entertainment
The Lost Boys;1987;R;97;Comedy, Horror;Joel Schumacher;Jan Fischer (story), James Jeremias (story), Jan Fischer (screenplay), James Jeremias (screenplay), Jeffrey Boam (screenplay);Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes;After moving to a new town, two brothers discover that the area is a haven for vampires.;English;USA;7.3;NULL;Warner Bros. Pictures
Bright Lights, Big City;1988;R;107;Drama;James Bridges;Jay McInerney (novel), Jay McInerney (screenplay);Michael J. Fox, Kiefer Sutherland, Phoebe Cates, Swoosie Kurtz;A disillusioned young writer living in New York City turns to drugs and drinking to block out the memories of his dead mother and estranged wife.;English;USA, Japan;5.6;NULL;MGM Home Entertainment
Space Mutiny;1988;R;91;Action, Adventure, Romance;David Winters, Neal Sundstrom;Maria Dante;Reb Brown, John Phillip Law, James Ryan, Cameron Mitchell;A pilot is the only hope to stop the mutiny of a spacecraft by its security crew, who plot to sell the crew of the ship into slavery.;English;South Africa, USA;2.0;NULL;Trimark
Qayamat Se Qayamat Tak;1988;NULL;162;Action, Drama, Musical;Mansoor Khan;Nasir Hussain (dialogue), Nasir Hussain (screenplay), Nasir Hussain (story);Aamir Khan, Juhi Chawla, Goga Kapoor, Dalip Tahil;A young man and young woman fall in love against their feuding fathers' wishes in this version of 'Romeo and Juliet' set in contemporary India.;Hindi, Urdu;India;7.6;NULL;NULL
Big;1988;PG;104;Comedy, Drama, Family;Penny Marshall;Gary Ross, Anne Spielberg;Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard;After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.;English;USA;7.3;NULL;Twentieth Century Fox Home Entertainment
They Live;1988;R;94;Action, Horror, Sci-Fi;John Carpenter;"Ray Nelson (short story """"Eight O'Clock in the Morning""""), John Carpenter (screenplay)";Roddy Piper, Keith David, Meg Foster, George 'Buck' Flower;A drifter discovers a pair of sunglasses that allow him to wake up to the fact that aliens have taken over the Earth.;English;USA;7.3;NULL;MCA/Universal Pictures
Phantasm II;1988;R;97;Action, Fantasy, Horror;Don Coscarelli;Don Coscarelli;James Le Gros, Reggie Bannister, Angus Scrimm, Paula Irvine;Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work.;English;USA;6.5;NULL;MCA Universal Home Video
My Stepmother Is an Alien;1988;PG-13;105;Comedy, Sci-Fi;Richard Benjamin;Jerico, Herschel Weingrod, Timothy Harris, Jonathan Reynolds;Dan Aykroyd, Kim Basinger, Jon Lovitz, Alyson Hannigan;An alien is sent on a secret mission to Earth, where she appears as a gorgeous, attractive, and single lady. Her mission is to make contact with a rather nerdy young scientist, who's quite ...;English;USA;5.2;NULL;Sony Pictures Home Entertainment
Twins;1988;PG;107;Comedy, Crime;Ivan Reitman;William Davies, William Osborne, Timothy Harris, Herschel Weingrod;Arnold Schwarzenegger, Danny DeVito, Kelly Preston, Chloe Webb;A physically perfect but innocent man goes in search of his long-lost twin brother, who is a short small-time crook.;English;USA;6.0;NULL;Universal Pictures
Iguana;1988;NULL;88;Adventure, Crime, Drama;Monte Hellman;Steven Gaydos, Monte Hellman, Alberto Vázquez Figueroa (novel), David M. Zehr;Everett McGill, Michael Bradford, Roger Kendall, Robert Case;A grotesquely disfigured harpooner called Iguana is severely mistreated by his fellow sailors on a whaling ship in the 19th century. One night he escapes and takes up residence on a remote ...;English, Spanish;Italy, Spain, Switzerland, USA;6.2;NULL;Arco Films
Child's Play;1988;R;87;Horror, Thriller;Tom Holland;Don Mancini (story), Don Mancini (screenplay), John Lafia (screenplay), Tom Holland (screenplay);Catherine Hicks, Chris Sarandon, Alex Vincent, Brad Dourif;A single mother gives her son a much sought after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.;English;USA;6.5;NULL;United Artists
Poltergeist III;1988;PG-13;98;Horror, Thriller;Gary Sherman;Gary Sherman, Brian Taggert;Tom Skerritt, Nancy Allen, Heather O'Rourke, Zelda Rubinstein;Carol Anne is staying with her aunt in a highrise building, and the supernatural forces that have haunted her previously follow her there.;English;USA;4.6;NULL;MGM Home Entertainment
Young Guns;1988;R;107;Action, Crime, Drama;Christopher Cain;John Fusco;Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Charlie Sheen;A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.;English;USA;6.8;NULL;Artisan Entertainment
Action Jackson;1988;R;96;Action, Comedy, Crime;Craig R. Baxley;Robert Reneau;Carl Weathers, Craig T. Nelson, Vanity, Sharon Stone;Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.;English;USA;5.2;NULL;Lorimar Film Entertainment
School Daze;1988;R;121;Comedy, Drama, Musical;Spike Lee;Spike Lee;Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Kyme;A not so popular young man wants to pledge to a popular fraternity at his historically black college.;English;USA;5.8;NULL;Sony Pictures Home Entertainment
Talk Radio;1988;R;110;Drama;Oliver Stone;Stephen Singular (book), Eric Bogosian (play), Tad Savinar (play), Eric Bogosian (play), Eric Bogosian (screenplay), Oliver Stone (screenplay);Eric Bogosian, Ellen Greene, Leslie Hope, John C. McGinley;A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.;English;USA, Canada;7.3;NULL;MCA Universal Home Video
Friday the 13th Part VII: The New Blood;1988;R;88;Horror, Thriller;John Carl Buechler;Daryl Haney, Manuel Fidello;Jennifer Banko, John Otrin, Susan Blu, Lar Park-Lincoln;Years after Tommy Jarvis chained him underwater at Camp Crystal Lake, the dormant Jason Voorhees returns to the camp grounds when he is accidentally released from his prison by a telekinetic teenager.;English;USA;5.3;NULL;Paramount Pictures
Hobgoblins;1988;R;88;Comedy, Horror, Sci-Fi;Rick Sloane;Rick Sloane;Tom Bartlett, Paige Sullivan, Steven Boggs, Kelley Palmer;A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.;English;USA;2.3;NULL;All Channel Films
Grave of the Fireflies;1988;UNRATED;89;Animation, Drama, War;Isao Takahata;Akiyuki Nosaka (novel), Isao Takahata;Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi;A young boy and his little sister struggle to survive in Japan during World War II.;Japanese;Japan;8.5;NULL;Shinchosha Company
My Neighbor Totoro;1988;G;86;Animation, Family, Fantasy;Hayao Miyazaki;Hayao Miyazaki;Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto;When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.;Japanese;Japan;8.2;NULL;Tokuma Shoten
Rain Man;1988;R;133;Drama;Barry Levinson;Barry Morrow (story), Ronald Bass (screenplay), Barry Morrow (screenplay);Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen;"Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.";English, Italian;USA;8.0;NULL;MGM
Akira;1988;R;124;Animation, Action, Drama;Katsuhiro Ôtomo;Katsuhiro Ôtomo (screenplay), Izô Hashimoto (screenplay), Katsuhiro Ôtomo (manga);Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda;A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.;Japanese;Japan;8.1;NULL;Streamline Pictures
The Land Before Time;1988;G;69;Animation, Adventure, Drama;Don Bluth;Stu Krieger (screenplay), Judy Freudberg (story), Tony Geiss (story);Judith Barsi, Pat Hingle, Gabriel Damon, Helen Shaver;An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.;English;USA, Ireland;7.3;NULL;MCA Universal Home Video
A Nightmare on Elm Street 4: The Dream Master;1988;R;93;Horror, Thriller;Renny Harlin;Wes Craven (character), William Kotzwinkle (story), Brian Helgeland (story), Brian Helgeland (screenplay), Jim Wheat (screenplay), Ken Wheat (screenplay);John Beckman, Kisha Brackel, Brooke Bundy, Wanda Bursey;Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may know the way to defeat him for good.;English;USA;5.7;NULL;Media Home Entertainment
Die Hard;1988;R;131;Action, Thriller;John McTiernan;Roderick Thorp (novel), Jeb Stuart (screenplay), Steven E. de Souza (screenplay);Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason;John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.;English, German, Italian;USA;8.2;NULL;20th Century Fox
Midnight Run;1988;R;126;Action, Comedy, Crime;Martin Brest;George Gallo;Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton;An accountant is chased by bounty hunters, the FBI, and the Mafia after jumping bail.;English;USA;7.6;NULL;MCA Universal Home Video
Mystic Pizza;1988;R;104;Comedy, Drama, Romance;Donald Petrie;Amy Holden Jones (story), Amy Holden Jones (screenplay), Perry Howze (screenplay), Randy Howze (screenplay), Alfred Uhry (screenplay);Annabeth Gish, Julia Roberts, Lili Taylor, Vincent D'Onofrio;Three teenage girls come of age while working at a pizza parlor in the Connecticut town of Mystic.;English;USA;6.2;NULL;MGM Home Entertainment
Halloween 4: The Return of Michael Myers;1988;R;88;Horror, Thriller;Dwight H. Little;Dhani Lipsius (story), Larry Rattner (story), Benjamin Ruffner (story), Alan B. McElroy (story), Alan B. McElroy (screenplay);Donald Pleasence, Ellie Cornell, Danielle Harris, George P. Wilbur;Ten years after his original massacre, the invalid Michael Myers awakens and returns to Haddonfield to kill his seven-year-old niece on Halloween. Can Dr. Loomis stop him?;English;USA;5.9;NULL;Twentieth Century Fox Home Entertainment
Lady in White;1988;R;113;Fantasy, Horror, Mystery;Frank LaLoggia;Frank LaLoggia;Lukas Haas, Len Cariou, Alex Rocco, Katherine Helmond;An author tells the story of how, as a young boy growing up in a small town during the 1960's, he was haunted after witnessing the murder of a little girl.;English, Italian, Spanish, German;USA;6.7;NULL;Virgin Vision
The Last Temptation of Christ;1988;R;164;Drama;Martin Scorsese;Nikos Kazantzakis (novel), Paul Schrader (screenplay);Willem Dafoe, Harvey Keitel, Paul Greco, Steve Shill;The life of Jesus Christ, his journey through life as he faces the struggles all humans do, and his final temptation on the cross.;English;Canada, USA;7.6;NULL;Universal Pictures
Cinema Paradiso;1988;R;155;Drama;Giuseppe Tornatore;Giuseppe Tornatore (story), Giuseppe Tornatore (screenplay), Vanna Paoli (collaborating writer), Richard Epcar (english version);Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta;A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.;Italian;Italy, France;8.5;239630;Miramax Films
Scrooged;1988;PG-13;101;Comedy, Drama, Fantasy;Richard Donner;Mitch Glazer, Michael O'Donoghue, Charles Dickens (novel);Bill Murray, Karen Allen, John Forsythe, John Glover;A selfish, cynical T.V. executive is haunted by three spirits bearing lessons on Christmas Eve.;English;USA;7.0;NULL;Paramount Pictures
Dangerous Liaisons;1988;R;119;Drama, Romance;Stephen Frears;Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay);Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz;A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.;English;USA, UK;7.7;NULL;Warner Home Video
Rambo III;1988;R;102;Action, Adventure, Thriller;Peter MacDonald;David Morrell (characters), Sylvester Stallone, Sheldon Lettich;Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith;Colonel Trautman is captured by Soviets during a mission in Afghanistan so Rambo sets out to rescue him while taking on the invading Russian forces.;English, Russian;USA;5.7;NULL;Live Home Video
Crocodile Dundee II;1988;PG;108;Action, Adventure, Comedy;John Cornell;Paul Hogan (characters), Paul Hogan, Brett Hogan;Paul Hogan, Linda Kozlowski, John Meillon, Ernie Dingo;Australian outback expert protects his New York love from gangsters who've followed her down under.;English, Spanish, Japanese;Australia, USA;5.5;NULL;Paramount
Bloodsport;1988;R;92;Action, Biography, Drama;Newt Arnold;Sheldon Lettich (story), Sheldon Lettich (screenplay), Christopher Cosby (screenplay), Mel Friedman (screenplay);Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton;Follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.;English;USA;6.8;NULL;Warner Home Video
Beetlejuice;1988;PG;92;Comedy, Fantasy;Tim Burton;Michael McDowell (story), Larry Wilson (story), Michael McDowell (screenplay), Warren Skaaren (screenplay);Alec Baldwin, Geena Davis, Annie McEnroe, Maurice Page;When a recently-deceased ghost couple find their now-vacant home invaded by an obnoxious family, they hire a sleazy ghost who gets rid of humans to help them.;English;USA;7.5;NULL;Warner Bros. Pictures
Ghosts Can't Do It;1989;R;90;Comedy, Crime, Fantasy;John Derek;John Derek (by);Bo Derek, Anthony Quinn, Don Murray, Julie Newmar;Elderly Scott kills himself after a heart attack wrecks his body, but then comes back as a ghost and convinces his loving young hot wife Kate to pick and kill a young man in order for Scott to possess his body and be with her again.;English;USA;2.3;NULL;Sony Pictures Home Entertainment
Born on the Fourth of July;1989;R;145;Biography, Drama, War;Oliver Stone;Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay);Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans;The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.;English, Spanish;USA;7.2;NULL;Universal Pictures
Major League;1989;R;107;Comedy, Sport;David S. Ward;David S. Ward;Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton;The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.;English, Spanish, Japanese;USA;7.2;NULL;Paramount Home Video
Henry V;1989;PG-13;137;Action, Biography, Drama;Kenneth Branagh;William Shakespeare (by), Kenneth Branagh (adapted for the screen by);Derek Jacobi, Kenneth Branagh, Simon Shepherd, James Larkin;In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.;English, French;UK;7.7;NULL;MGM Home Entertainment
The Abyss;1989;PG-13;145;Adventure, Drama, Sci-Fi;James Cameron;James Cameron;Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester;A civilian diving team is enlisted to search for a lost nuclear submarine and face danger while encountering an alien aquatic species.;English;USA;7.6;NULL;20th Century Fox Film Corporat
Dead Poets Society;1989;PG;128;Comedy, Drama;Peter Weir;Tom Schulman;Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles;English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.;English, Latin;USA;8.0;NULL;Buena Vista Pictures
Star Trek V: The Final Frontier;1989;PG;107;Action, Adventure, Fantasy;William Shatner;"Gene Roddenberry (creator: based on """"Star Trek""""), William Shatner (story), Harve Bennett (story), David Loughery (story), David Loughery (screenplay)";William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan;Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.;English, Klingon;USA;5.4;NULL;Paramount Pictures
New York Stories;1989;PG;124;Comedy, Drama, Romance;Woody Allen, Francis Ford Coppola, Martin Scorsese;Richard Price, Woody Allen, Francis Ford Coppola, Sofia Coppola;Woody Allen, Marvin Chatinover, Mae Questel, Mia Farrow;A middle-aged artist obsessed with his pretty young assistant, a precocious 12 year old living in a hotel, and a neurotic lawyer with a possessive mother make up three Gotham tales.;English;USA;6.4;10763469;Touchstone Pictures
A Nightmare on Elm Street 5: The Dream Child;1989;R;89;Fantasy, Horror, Romance;Stephen Hopkins;Wes Craven (characters), John Skipp (story), Craig Spector (story), Leslie Bohem (story), Leslie Bohem (screenplay);Robert Englund, Lisa Wilcox, Kelly Jo Minter, Danny Hassel;The pregnant Alice finds Freddy Krueger striking through the sleeping mind of her unborn child, hoping to be reborn into the real world.;English;USA;5.1;NULL;New Line Cinema
Warlock;1989;R;103;Action, Fantasy, Horror;Steve Miner;David Twohy;Julian Sands, Lori Singer, Richard E. Grant, Mary Woronov;A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit.;English;USA;6.2;NULL;Trimark
Going Overboard;1989;R;99;Comedy;Valerie Breiman;Valerie Breiman, Adam Sandler (additional material), Scott LaRose (additional material);Burt Young, Adam Sandler, Scott LaRose, Lisa Collins;A struggling young comedian takes a menial job on a cruise ship where he hopes for his big chance to make it in the world of cruise ship comedy.;English;USA;1.9;NULL;Trimark
