Title;Year;Netflix;Hulu;Prime Video;Disney+;Runtime
A Wednesday!;2008;1;0;0;0;104
Jodhaa Akbar;2008;1;0;0;0;213
Handsome Devil;2017;1;0;0;0;95
Love, Rosie;2014;1;0;1;0;102
Oceans;2009;1;0;0;0;104
The Ritual;2017;1;0;0;0;94
Super Dark Times;2017;1;0;0;0;103
Tallulah;2016;1;0;0;0;111
Other People;2016;1;0;0;0;97
Alpha Dog;2006;1;0;0;0;122
Spectral;2016;1;0;0;0;107
The Babysitter;2017;1;0;1;0;85
Extremely Wicked, Shockingly Evil and Vile;2019;1;0;0;0;110
Heneral Luna;2015;1;0;0;0;118
Click;2006;1;0;0;0;107
The Duchess;2008;1;0;1;0;110
The Last Man on the Moon;2016;1;0;0;0;95
The 24 Hour War;2016;1;0;0;0;99
Mune: Guardian of the Moon;2015;1;0;0;0;85
The Devil We Know;2018;1;0;0;0;95
How the Grinch Stole Christmas;2000;1;0;0;0;104
LA Originals;2020;1;0;0;0;92
Whisky;2004;1;0;1;0;99
The Sapphires;2012;1;0;0;0;103
Bloodsport;1988;1;0;0;0;92
Tinker Bell and the Legend of the NeverBeast;2014;1;0;0;0;76
Get Me Roger Stone;2017;1;0;0;0;92
Alex Strangelove;2018;1;0;0;0;99
She's Out of My League;2010;1;0;1;0;104
Sarah's Key;2010;1;0;0;0;111
My Happy Family;2017;1;0;0;0;120
Killing Them Softly;2012;1;0;0;0;97
Ittefaq;2017;1;0;1;0;105
6 Underground;2019;1;0;0;0;128
The Accountant of Auschwitz;2018;1;0;0;0;78
Echo in the Canyon;2019;1;0;0;0;82
Hold the Dark;2018;1;0;0;0;125
Suffragette;2015;1;0;0;0;106
The Siege of Jadotville;2016;1;0;0;0;108
Terminator Salvation;2009;1;0;0;0;115
Hotel Transylvania 3: Summer Vacation;2018;1;0;0;0;97
Filmworker;2018;1;0;0;0;94
Our Souls at Night;2017;1;0;0;0;103
Mine 9;2019;1;0;0;0;83
Everybody Knows;2018;1;0;0;0;133
Retribution;2015;1;0;1;0;60
Ice Guardians;2016;1;0;0;0;108
Tinker Bell and the Pirate Fairy;2014;1;0;0;0;78
The World Is Not Enough;1999;1;0;0;0;128
Suite Française;2014;1;0;0;0;107
Period. End of Sentence.;2018;1;0;0;0;26
Beyond the Mat;1999;1;0;0;0;102
Next Gen;2018;1;0;0;0;106
Cam;2018;1;0;0;0;94
Divines;2016;1;0;0;0;105
Shirkers;2018;1;0;0;0;97
Underworld: Evolution;2006;1;0;0;0;106
Om Shanti Om;2007;1;0;0;0;162
How to Change the World;2015;1;0;0;0;110
Spitfire;2018;1;0;0;0;87
You Are My Sunday;2016;1;0;0;0;119
Dear Zindagi;2016;1;0;0;0;151
Uncorked;2020;1;0;0;0;104
The Water Diviner;2014;1;0;0;0;111
Gaga: Five Foot Two;2017;1;0;0;0;100
Austin Powers in Goldmember;2002;1;0;0;0;94
He Never Died;2015;1;0;0;0;99
Black Sea;2014;1;0;0;0;114
Ali's Wedding;2017;1;0;0;0;110
Event Horizon;1997;1;0;0;0;96
Mississippi Grind;2015;1;0;0;0;108
They'll Love Me When I'm Dead;2018;1;0;0;0;98
Kai Po Che!;2013;1;0;0;0;120
Badla;2019;1;0;0;0;118
Young Adult;2011;1;0;1;0;94
ZZ Top: That Little Ol' Band From Texas;2019;1;0;0;0;91
Scary Movie;2000;1;0;0;0;111
The Dirt;2019;1;0;0;0;107
Killer Klowns from Outer Space;1988;1;0;0;0;88
The Exception;2017;1;0;0;0;107
Spenser Confidential;2020;1;0;0;0;111
Wheelman;2017;1;0;0;0;82
While We're Young;2014;1;0;0;0;97
Die Another Day;2002;1;0;0;0;133
The Grandmaster;2013;1;0;0;0;130
Bathtubs Over Broadway;2018;1;0;0;0;87
Cadillac Records;2008;1;0;0;0;109
I am Divine;2013;1;0;0;0;90
King Jack;2015;1;0;0;0;81
The Runaways;2010;1;0;0;0;106
2012;2009;1;0;0;0;158
The Half of It;2020;1;0;0;0;104
Tigertail;2020;1;0;0;0;91
Sleeping with Other People;2015;1;0;0;0;101
What Lies Beneath;2000;1;0;0;0;130
Fractured;2019;1;0;0;0;99
Master Z: Ip Man Legacy;2018;1;0;0;0;107
Neruda;2016;1;0;0;0;107
One Day;2011;1;0;1;0;107
Just Friends;2005;1;0;0;0;96
Aśoka;2001;1;0;0;0;30
Harold and Lillian: A Hollywood Love Story;2017;1;0;0;0;94
The Grinch;2018;1;0;0;0;104
Qarib Qarib Singlle;2017;1;0;0;0;125
Beasts of No Nation;2015;1;0;0;0;137
Time Trap;2017;1;0;0;0;87
Final Destination 2;2003;1;0;0;0;90
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life;2018;1;0;0;0;74
Dance Academy: The Movie;2017;1;0;0;0;101
White Fang;2018;1;0;0;1;107
All the Bright Places;2020;1;0;0;0;107
Elena;2013;1;0;1;0;109
Underworld: Rise of the Lycans;2009;1;0;0;0;92
Talaash;2012;1;0;0;0;140
Kevin Hart: Laugh at My Pain;2011;1;0;0;0;89
Gridiron Gang;2006;1;0;0;0;125
Hot Rod;2007;1;0;1;0;88
Bee Movie;2007;1;0;0;0;91
Trash;2014;1;0;0;0;114
The Photographer of Mauthausen;2018;1;0;0;0;110
He's Just Not That Into You;2009;1;0;0;0;129
Forks Over Knives;2011;1;0;0;0;96
Bandits;2001;1;0;1;0;123
Sanju;2018;1;0;0;0;155
Blame!;2017;1;1;1;0;106
Quincy;2018;1;0;0;0;60
DragonHeart;1996;1;0;0;0;103
Bad Day for the Cut;2017;1;0;0;0;99
We the Animals;2018;1;0;0;0;94
Soul Surfer;2011;1;0;0;0;112
Rocko's Modern Life: Static Cling;2019;1;0;0;0;45
Haywire;2011;1;0;0;0;93
Pink;2016;1;0;0;0;136
