Year;Ceremony;Award;Winner;Name;Film
1974;47;Music (Song);TRUE;"""We May Never Love Like This Again"" from The Towering Inferno";Music and Lyrics by Al Kasha and Joel Hirschhorn
1974;47;Music (Song);FALSE;"""Wherever Love Takes Me"" from Gold";"Music by Elmer Bernstein; Lyrics by Don Black"
1974;47;Best Picture;FALSE;Chinatown ;Robert Evans, Producer
1974;47;Best Picture;FALSE;The Conversation ;"Francis Ford Coppola, Producer; Fred Roos, Co-Producer"
1974;47;Best Picture;TRUE;The Godfather Part II ;"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
1974;47;Best Picture;FALSE;Lenny ;Marvin Worth, Producer
1974;47;Best Picture;FALSE;The Towering Inferno ;Irwin Allen, Producer
1974;47;Short Film (Animated);TRUE;Closed Mondays ;Will Vinton and Bob Gardiner, Producers
1974;47;Short Film (Animated);FALSE;The Family That Dwelt Apart ;Yvon Mallette and Robert Verrall, Producers
1974;47;Short Film (Animated);FALSE;Hunger ;Peter Foldes and René Jodoin, Producers
1974;47;Short Film (Animated);FALSE;Voyage to Next ;Faith Hubley and John Hubley, Producers
1974;47;Short Film (Animated);FALSE;Winnie the Pooh and Tigger Too ;Wolfgang Reitherman, Producer
1974;47;Short Film (Live Action);FALSE;Climb ;Dewitt Jones, Producer
1974;47;Short Film (Live Action);FALSE;The Concert ;Julian Chagrin and Claude Chagrin, Producers
1974;47;Short Film (Live Action);TRUE;One-Eyed Men Are Kings ;Paul Claudon and Edmond Sechan, Producers
1974;47;Short Film (Live Action);FALSE;Planet Ocean ;George V. Casey, Producer
1974;47;Short Film (Live Action);FALSE;The Violin ;Andrew Welsh and George Pastic, Producers
1974;47;Sound;FALSE;Chinatown ;Bud Grenzbach, Larry Jost
1974;47;Sound;FALSE;The Conversation ;Walter Murch, Arthur Rochester
1974;47;Sound;TRUE;Earthquake ;Ronald Pierce, Melvin Metcalfe, Sr.
1974;47;Sound;FALSE;The Towering Inferno ;Theodore Soderberg, Herman Lewis
1974;47;Sound;FALSE;Young Frankenstein ;Richard Portman, Gene Cantamessa
1974;47;Writing (Original Screenplay);FALSE;Alice Doesn't Live Here Anymore ;Robert Getchell
1974;47;Writing (Original Screenplay);TRUE;Chinatown ;Robert Towne
1974;47;Writing (Original Screenplay);FALSE;The Conversation ;Francis Ford Coppola
1974;47;Writing (Original Screenplay);FALSE;Day for Night ;Francois Truffaut, Jean-Louis Richard, Suzanne Schiffman
1974;47;Writing (Original Screenplay);FALSE;Harry and Tonto ;Paul Mazursky, Josh Greenfeld
1974;47;Writing (Screenplay Adapted from Other Material);FALSE;The Apprenticeship of Duddy Kravitz ;"Screenplay by Mordecai Richler; Adaptation by Lionel Chetwynd"
1974;47;Writing (Screenplay Adapted from Other Material);TRUE;The Godfather Part II ;Francis Ford Coppola, Mario Puzo
1974;47;Writing (Screenplay Adapted from Other Material);FALSE;Lenny ;Julian Barry
1974;47;Writing (Screenplay Adapted from Other Material);FALSE;Murder on the Orient Express ;Paul Dehn
1974;47;Writing (Screenplay Adapted from Other Material);FALSE;Young Frankenstein ;Gene Wilder, Mel Brooks
1974;47;Special Achievement Award (Visual Effects);TRUE;Earthquake ;Frank Brendel, Glen Robinson, Albert Whitlock
1974;47;Jean Hersholt Humanitarian Award;TRUE;Arthur B. Krim;
1974;47;Honorary Award;TRUE;Howard Hawks;
1974;47;Honorary Award;TRUE;Jean Renoir;
1975;48;Actor;FALSE;Walter Matthau;The Sunshine Boys
1975;48;Actor;TRUE;Jack Nicholson;One Flew over the Cuckoo's Nest
1975;48;Actor;FALSE;Al Pacino;Dog Day Afternoon
1975;48;Actor;FALSE;Maximilian Schell;The Man in the Glass Booth
1975;48;Actor;FALSE;James Whitmore;Give 'em Hell, Harry!
1975;48;Actor in a Supporting Role;TRUE;George Burns;The Sunshine Boys
1975;48;Actor in a Supporting Role;FALSE;Brad Dourif;One Flew over the Cuckoo's Nest
1975;48;Actor in a Supporting Role;FALSE;Burgess Meredith;The Day of the Locust
1975;48;Actor in a Supporting Role;FALSE;Chris Sarandon;Dog Day Afternoon
1975;48;Actor in a Supporting Role;FALSE;Jack Warden;Shampoo
1975;48;Actress;FALSE;Isabelle Adjani;The Story of Adele H.
1975;48;Actress;FALSE;Ann-Margret;Tommy
1975;48;Actress;TRUE;Louise Fletcher;One Flew over the Cuckoo's Nest
1975;48;Actress;FALSE;Glenda Jackson;Hedda
1975;48;Actress;FALSE;Carol Kane;Hester Street
1975;48;Actress in a Supporting Role;FALSE;Ronee Blakley;Nashville
1975;48;Actress in a Supporting Role;TRUE;Lee Grant;Shampoo
1975;48;Actress in a Supporting Role;FALSE;Sylvia Miles;Farewell, My Lovely
1975;48;Actress in a Supporting Role;FALSE;Lily Tomlin;Nashville
1975;48;Actress in a Supporting Role;FALSE;Brenda Vaccaro;Jacqueline Susann's Once Is Not Enough
1975;48;Art Direction;TRUE;Barry Lyndon ;"Art Direction: Ken Adam, Roy Walker; Set Decoration: Vernon Dixon"
1975;48;Art Direction;FALSE;The Hindenburg ;"Art Direction: Edward Carfagno; Set Decoration: Frank McKelvy"
1975;48;Art Direction;FALSE;The Man Who Would Be King ;"Art Direction: Alexander Trauner, Tony Inglis; Set Decoration: Peter James"
1975;48;Art Direction;FALSE;Shampoo ;"Art Direction: Richard Sylbert, W. Stewart Campbell; Set Decoration: George Gaines"
1975;48;Art Direction;FALSE;The Sunshine Boys ;"Art Direction: Albert Brenner; Set Decoration: Marvin March"
1975;48;Cinematography;TRUE;Barry Lyndon ;John Alcott
1975;48;Cinematography;FALSE;The Day of the Locust ;Conrad Hall
1975;48;Cinematography;FALSE;Funny Lady ;James Wong Howe
1975;48;Cinematography;FALSE;The Hindenburg ;Robert Surtees
1975;48;Cinematography;FALSE;One Flew over the Cuckoo's Nest ;Haskell Wexler, Bill Butler
1975;48;Costume Design;TRUE;Barry Lyndon ;Ulla-Britt Soderlund, Milena Canonero
1975;48;Costume Design;FALSE;The Four Musketeers ;Yvonne Blake, Ron Talsky
1975;48;Costume Design;FALSE;Funny Lady ;Ray Aghayan, Bob Mackie
1975;48;Costume Design;FALSE;The Magic Flute ;Henny Noremark, Karin Erskine
1975;48;Costume Design;FALSE;The Man Who Would Be King ;Edith Head
1975;48;Directing;FALSE;Amarcord ;Federico Fellini
1975;48;Directing;FALSE;Barry Lyndon ;Stanley Kubrick
1975;48;Directing;FALSE;Dog Day Afternoon ;Sidney Lumet
1975;48;Directing;FALSE;Nashville ;Robert Altman
1975;48;Directing;TRUE;One Flew over the Cuckoo's Nest ;Milos Forman
1975;48;Documentary (Feature);FALSE;The California Reich ;Walter F. Parkes and Keith F. Critchlow, Producers
1975;48;Documentary (Feature);FALSE;Fighting for Our Lives ;Glen Pearcy, Producer
1975;48;Documentary (Feature);FALSE;The Incredible Machine ;Irwin Rosten, Producer
1975;48;Documentary (Feature);TRUE;The Man Who Skied down Everest ;F. R. Crawley, James Hager and Dale Hartleben, Producers
1975;48;Documentary (Feature);FALSE;The Other Half of the Sky: A China Memoir ;Shirley MacLaine, Producer
1975;48;Documentary (Short Subject);FALSE;Arthur and Lillie ;Jon Else, Steven Kovacs and Kristine Samuelson, Producers
1975;48;Documentary (Short Subject);TRUE;The End of the Game ;Claire Wilbur and Robin Lehman, Producers
1975;48;Documentary (Short Subject);FALSE;Millions of Years Ahead of Man ;Manfred Baier, Producer
1975;48;Documentary (Short Subject);FALSE;Probes in Space ;George V. Casey, Producer
1975;48;Documentary (Short Subject);FALSE;Whistling Smith ;Barrie Howells and Michael Scott, Producers
1975;48;Film Editing;FALSE;Dog Day Afternoon ;Dede Allen
1975;48;Film Editing;TRUE;Jaws ;Verna Fields
1975;48;Film Editing;FALSE;The Man Who Would Be King ;Russell Lloyd
1975;48;Film Editing;FALSE;One Flew over the Cuckoo's Nest ;Richard Chew, Lynzee Klingman, Sheldon Kahn
1975;48;Film Editing;FALSE;Three Days of the Condor ;Fredric Steinkamp, Don Guidice
1975;48;Foreign Language Film;TRUE;Dersu Uzala ;Union of Soviet Socialist Republics
1975;48;Foreign Language Film;FALSE;Land of Promise ;Poland
1975;48;Foreign Language Film;FALSE;Letters from Marusia ;Mexico
1975;48;Foreign Language Film;FALSE;Sandakan No. 8 ;Japan
1975;48;Foreign Language Film;FALSE;Scent of a Woman ;Italy
1975;48;Music (Original Score);FALSE;Birds Do It, Bees Do It ;Gerald Fried
1975;48;Music (Original Score);FALSE;Bite the Bullet ;Alex North
1975;48;Music (Original Score);TRUE;Jaws ;John Williams
1975;48;Music (Original Score);FALSE;One Flew over the Cuckoo's Nest ;Jack Nitzsche
1975;48;Music (Original Score);FALSE;The Wind and the Lion ;Jerry Goldsmith
1975;48;Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation);TRUE;Barry Lyndon ;Adaptation Score by Leonard Rosenman
1975;48;Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation);FALSE;Funny Lady ;Adaptation Score by Peter Matz
1975;48;Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation);FALSE;Tommy ;Adaptation Score by Peter Townshend
1975;48;Music (Original Song);FALSE;"""How Lucky Can You Get"" from Funny Lady";Music and Lyrics by Fred Ebb and John Kander
1975;48;Music (Original Song);TRUE;"""I'm Easy"" from Nashville";Music and Lyrics by Keith Carradine
1975;48;Music (Original Song);FALSE;"""Now That We're In Love"" from Whiffs";"Music by George Barrie; Lyrics by Sammy Cahn"
1975;48;Music (Original Song);FALSE;"""Richard's Window"" from The Other Side of the Mountain";"Music by Charles Fox; Lyrics by Norman Gimbel"
1975;48;Music (Original Song);FALSE;"""Theme From Mahogany (Do You Know Where You're Going To)"" from Mahogany";"Music by Michael Masser; Lyrics by Gerry Goffin"
1975;48;Best Picture;FALSE;Barry Lyndon ;Stanley Kubrick, Producer
1975;48;Best Picture;FALSE;Dog Day Afternoon ;Martin Bregman and Martin Elfand, Producers
1975;48;Best Picture;FALSE;Jaws ;Richard D. Zanuck and David Brown, Producers
1975;48;Best Picture;FALSE;Nashville ;Robert Altman, Producer
1975;48;Best Picture;TRUE;One Flew over the Cuckoo's Nest ;Saul Zaentz and Michael Douglas, Producers
1975;48;Short Film (Animated);TRUE;Great ;Bob Godfrey, Producer
1975;48;Short Film (Animated);FALSE;Kick Me ;Robert Swarthe, Producer
1975;48;Short Film (Animated);FALSE;Monsieur Pointu ;René Jodoin, Bernard Longpré and André Leduc, Producers
1975;48;Short Film (Animated);FALSE;Sisyphus ;Marcell Jankovics, Producer
1975;48;Short Film (Live Action);TRUE;Angel and Big Joe ;Bert Salzman, Producer
1975;48;Short Film (Live Action);FALSE;Conquest of Light ;Louis Marcus, Producer
1975;48;Short Film (Live Action);FALSE;Dawn Flight ;Lawrence M. Lansburgh and Brian Lansburgh, Producers
1975;48;Short Film (Live Action);FALSE;A Day in the Life of Bonnie Consolo ;Barry Spinello, Producer
1975;48;Short Film (Live Action);FALSE;Doubletalk ;Alan Beattie, Producer
1975;48;Sound;FALSE;Bite the Bullet ;Arthur Piantadosi, Les Fresholtz, Richard Tyler, Al Overton, Jr.
1975;48;Sound;FALSE;Funny Lady ;Richard Portman, Don MacDougall, Curly Thirlwell, Jack Solomon
1975;48;Sound;FALSE;The Hindenburg ;Leonard Peterson, John A. Bolger, Jr., John Mack, Don K. Sharpless
1975;48;Sound;TRUE;Jaws ;Robert L. Hoyt, Roger Heman, Earl Madery, John Carter
1975;48;Sound;FALSE;The Wind and the Lion ;Harry W. Tetrick, Aaron Rochin, William McCaughey, Roy Charman
1975;48;Writing (Original Screenplay);FALSE;Amarcord ;Federico Fellini, Tonino Guerra
1975;48;Writing (Original Screenplay);FALSE;And Now My Love ;Claude Lelouch, Pierre Uytterhoeven
1975;48;Writing (Original Screenplay);TRUE;Dog Day Afternoon ;Frank Pierson
1975;48;Writing (Original Screenplay);FALSE;Lies My Father Told Me ;Ted Allan
1975;48;Writing (Original Screenplay);FALSE;Shampoo ;Robert Towne, Warren Beatty
1975;48;Writing (Screenplay Adapted from Other Material);FALSE;Barry Lyndon ;Stanley Kubrick
1975;48;Writing (Screenplay Adapted from Other Material);FALSE;The Man Who Would Be King ;John Huston, Gladys Hill
1975;48;Writing (Screenplay Adapted from Other Material);TRUE;One Flew over the Cuckoo's Nest ;Lawrence Hauben, Bo Goldman
1975;48;Writing (Screenplay Adapted from Other Material);FALSE;Scent of a Woman ;Ruggero Maccari, Dino Risi
1975;48;Writing (Screenplay Adapted from Other Material);FALSE;The Sunshine Boys ;Neil Simon
1975;48;Special Achievement Award (Sound Effects);TRUE;The Hindenburg ;Peter Berkos
1975;48;Special Achievement Award (Visual Effects);TRUE;The Hindenburg ;Albert Whitlock, Glen Robinson
1975;48;Jean Hersholt Humanitarian Award;TRUE;Dr. Jules C. Stein;
1975;48;Honorary Award;TRUE;Mary Pickford;
1975;48;Irving G. Thalberg Memorial Award;TRUE;Mervyn LeRoy;
1976;49;Actor in a Leading Role;FALSE;Robert De Niro;Taxi Driver
1976;49;Actor in a Leading Role;TRUE;Peter Finch;Network
1976;49;Actor in a Leading Role;FALSE;Giancarlo Giannini;Seven Beauties
1976;49;Actor in a Leading Role;FALSE;William Holden;Network
1976;49;Actor in a Leading Role;FALSE;Sylvester Stallone;Rocky
1976;49;Actor in a Supporting Role;FALSE;Ned Beatty;Network
1976;49;Actor in a Supporting Role;FALSE;Burgess Meredith;Rocky
1976;49;Actor in a Supporting Role;FALSE;Laurence Olivier;Marathon Man
1976;49;Actor in a Supporting Role;TRUE;Jason Robards;All the President's Men
1976;49;Actor in a Supporting Role;FALSE;Burt Young;Rocky
1976;49;Actress in a Leading Role;FALSE;Marie-Christine Barrault;Cousin, Cousine
1976;49;Actress in a Leading Role;TRUE;Faye Dunaway;Network
1976;49;Actress in a Leading Role;FALSE;Talia Shire;Rocky
1976;49;Actress in a Leading Role;FALSE;Sissy Spacek;Carrie
1976;49;Actress in a Leading Role;FALSE;Liv Ullmann;Face to Face
1976;49;Actress in a Supporting Role;FALSE;Jane Alexander;All the President's Men
1976;49;Actress in a Supporting Role;FALSE;Jodie Foster;Taxi Driver
1976;49;Actress in a Supporting Role;FALSE;Lee Grant;Voyage of the Damned
1976;49;Actress in a Supporting Role;FALSE;Piper Laurie;Carrie
1976;49;Actress in a Supporting Role;TRUE;Beatrice Straight;Network
1976;49;Art Direction;TRUE;All the President's Men ;"Art Direction: George Jenkins; Set Decoration: George Gaines"
1976;49;Art Direction;FALSE;The Incredible Sarah ;"Art Direction: Elliot Scott, Norman Reynolds; Set Decoration: Peter Howitt"
1976;49;Art Direction;FALSE;The Last Tycoon ;"Art Direction: Gene Callahan, Jack Collis; Set Decoration: Jerry Wunderlich"
1976;49;Art Direction;FALSE;Logan's Run ;"Art Direction: Dale Hennesy; Set Decoration: Robert de Vestel"
1976;49;Art Direction;FALSE;The Shootist ;"Art Direction: Robert F. Boyle; Set Decoration: Arthur Jeph Parker"
1976;49;Cinematography;TRUE;Bound for Glory ;Haskell Wexler
1976;49;Cinematography;FALSE;King Kong ;Richard H. Kline
1976;49;Cinematography;FALSE;Logan's Run ;Ernest Laszlo
1976;49;Cinematography;FALSE;Network ;Owen Roizman
1976;49;Cinematography;FALSE;A Star Is Born ;Robert Surtees
1976;49;Costume Design;FALSE;Bound for Glory ;William Theiss
1976;49;Costume Design;TRUE;Fellini's Casanova ;Danilo Donati
1976;49;Costume Design;FALSE;The Incredible Sarah ;Anthony Mendleson
1976;49;Costume Design;FALSE;The Passover Plot ;Mary Wills
1976;49;Costume Design;FALSE;The Seven-per-cent Solution ;Alan Barrett
1976;49;Directing;FALSE;All the President's Men ;Alan J. Pakula
1976;49;Directing;FALSE;Face to Face ;Ingmar Bergman
1976;49;Directing;FALSE;Network ;Sidney Lumet
1976;49;Directing;TRUE;Rocky ;John G. Avildsen
1976;49;Directing;FALSE;Seven Beauties ;Lina Wertmüller
1976;49;Documentary (Feature);TRUE;Harlan County, U.S.A. ;Barbara Kopple, Producer
1976;49;Documentary (Feature);FALSE;Hollywood on Trial ;James Gutman and David Helpern, Jr., Producers
1976;49;Documentary (Feature);FALSE;Off the Edge ;Michael Firth, Producer
1976;49;Documentary (Feature);FALSE;People of the Wind ;Anthony Howarth and David Koff, Producers
1976;49;Documentary (Feature);FALSE;Volcano:  An Inquiry into the Life and Death of Malcolm Lowry ;Donald Brittain and Robert Duncan, Producers
1976;49;Documentary (Short Subject);FALSE;American Shoeshine ;Sparky Greene, Producer
1976;49;Documentary (Short Subject);FALSE;Blackwood ;Tony Ianzelo and Andy Thomson, Producers
1976;49;Documentary (Short Subject);FALSE;The End of the Road ;John Armstrong, Producer
1976;49;Documentary (Short Subject);TRUE;Number Our Days ;Lynne Littman, Producer
1976;49;Documentary (Short Subject);FALSE;Universe ;Lester Novros, Producer
1976;49;Film Editing;FALSE;All the President's Men ;Robert L. Wolfe
1976;49;Film Editing;FALSE;Bound for Glory ;Robert Jones, Pembroke J. Herring
1976;49;Film Editing;FALSE;Network ;Alan Heim
1976;49;Film Editing;TRUE;Rocky ;Richard Halsey, Scott Conrad
1976;49;Film Editing;FALSE;Two-Minute Warning ;Eve Newman, Walter Hannemann
1976;49;Foreign Language Film;TRUE;Black and White in Color ;Ivory Coast
1976;49;Foreign Language Film;FALSE;Cousin, Cousine ;France
1976;49;Foreign Language Film;FALSE;Jacob, the Liar ;German Democratic Republic
1976;49;Foreign Language Film;FALSE;Nights and Days ;Poland
1976;49;Foreign Language Film;FALSE;Seven Beauties ;Italy
1976;49;Music (Original Score);FALSE;Obsession ;Bernard Herrmann
1976;49;Music (Original Score);TRUE;The Omen ;Jerry Goldsmith
1976;49;Music (Original Score);FALSE;The Outlaw Josey Wales ;Jerry Fielding
1976;49;Music (Original Score);FALSE;Taxi Driver ;Bernard Herrmann
1976;49;Music (Original Score);FALSE;Voyage of the Damned ;Lalo Schifrin
1976;49;Music (Original Song Score and Its Adaptation or Adaptation Score);TRUE;Bound for Glory ;Adaptation Score by Leonard Rosenman
1976;49;Music (Original Song Score and Its Adaptation or Adaptation Score);FALSE;Bugsy Malone ;Song Score and Adaptation Score by Paul Williams
1976;49;Music (Original Song Score and Its Adaptation or Adaptation Score);FALSE;A Star Is Born ;Adaptation Score by Roger Kellaway
1976;49;Music (Original Song);FALSE;"""Ave Satani"" from The Omen";Music and Lyrics by Jerry Goldsmith
1976;49;Music (Original Song);FALSE;"""Come To Me"" from The Pink Panther Strikes Again";"Music by Henry Mancini; Lyrics by Don Black"
1976;49;Music (Original Song);TRUE;"""Evergreen (Love Theme From A Star Is Born)"" from A Star Is Born";"Music by Barbra Streisand; Lyrics by Paul Williams"
1976;49;Music (Original Song);FALSE;"""Gonna Fly Now"" from Rocky";"Music by Bill Conti; Lyrics by Carol Connors and Ayn Robbins"
1976;49;Music (Original Song);FALSE;"""A World That Never Was"" from Half a House";"Music by Sammy Fain; Lyrics by Paul Francis Webster"
1976;49;Best Picture;FALSE;All the President's Men ;Walter Coblenz, Producer
1976;49;Best Picture;FALSE;Bound for Glory ;Robert F. Blumofe and Harold Leventhal, Producers
1976;49;Best Picture;FALSE;Network ;Howard Gottfried, Producer
1976;49;Best Picture;TRUE;Rocky ;Irwin Winkler and Robert Chartoff, Producers
1976;49;Best Picture;FALSE;Taxi Driver ;Michael Phillips and Julia Phillips, Producers
1976;49;Short Film (Animated);FALSE;Dedalo ;Manfredo Manfredi, Producer
1976;49;Short Film (Animated);TRUE;Leisure ;Suzanne Baker, Producer
1976;49;Short Film (Animated);FALSE;The Street ;Caroline Leaf and Guy Glover, Producers
1976;49;Short Film (Live Action);TRUE;In the Region of Ice ;Andre Guttfreund and Peter Werner, Producers
1976;49;Short Film (Live Action);FALSE;Kudzu ;Marjorie Anne Short, Producer
1976;49;Short Film (Live Action);FALSE;The Morning Spider ;Julian Chagrin and Claude Chagrin, Producers
1976;49;Short Film (Live Action);FALSE;Nightlife ;Claire Wilbur and Robin Lehman, Producers
1976;49;Short Film (Live Action);FALSE;Number One ;Dyan Cannon and Vince Cannon, Producers
1976;49;Sound;TRUE;All the President's Men ;Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb
1976;49;Sound;FALSE;King Kong ;Harry Warren Tetrick, William McCaughey, Aaron Rochin, Jack Solomon
1976;49;Sound;FALSE;Rocky ;Harry Warren Tetrick, William McCaughey, Lyle Burbridge, Bud Alper
1976;49;Sound;FALSE;Silver Streak ;Donald Mitchell, Douglas Williams, Richard Tyler, Hal Etherington
1976;49;Sound;FALSE;A Star Is Born ;Robert Knudson, Dan Wallin, Robert Glass, Tom Overton
1976;49;Writing (Screenplay, Based on Material from Another Medium);TRUE;All the President's Men ;William Goldman
1976;49;Writing (Screenplay, Based on Material from Another Medium);FALSE;Bound for Glory ;Robert Getchell
1976;49;Writing (Screenplay, Based on Material from Another Medium);FALSE;Fellini's Casanova ;Federico Fellini, Bernardino Zapponi
1976;49;Writing (Screenplay, Based on Material from Another Medium);FALSE;The Seven-per-cent Solution ;Nicholas Meyer
1976;49;Writing (Screenplay, Based on Material from Another Medium);FALSE;Voyage of the Damned ;Steve Shagan, David Butler
1976;49;Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced);FALSE;Cousin, Cousine ;"Story and Screenplay by Jean-Charles Tacchella; Adaptation by Daniele Thompson"
1976;49;Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced);FALSE;The Front ;Walter Bernstein
1976;49;Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced);TRUE;Network ;Paddy Chayefsky
1976;49;Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced);FALSE;Rocky ;Sylvester Stallone
1976;49;Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced);FALSE;Seven Beauties ;Lina Wertmüller
1976;49;Special Achievement Award (Visual Effects);TRUE;King Kong ;Carlo Rambaldi, Glen Robinson, Frank Van der Veer
1976;49;Special Achievement Award (Visual Effects);TRUE;Logan's Run ;L. B. Abbott, Glen Robinson, Matthew Yuricich
1976;49;Irving G. Thalberg Memorial Award;TRUE;Pandro S. Berman;
1977;50;Actor in a Leading Role;FALSE;Woody Allen;Annie Hall
1977;50;Actor in a Leading Role;FALSE;Richard Burton;Equus
1977;50;Actor in a Leading Role;TRUE;Richard Dreyfuss;The Goodbye Girl
1977;50;Actor in a Leading Role;FALSE;Marcello Mastroianni;A Special Day
1977;50;Actor in a Leading Role;FALSE;John Travolta;Saturday Night Fever
1977;50;Actor in a Supporting Role;FALSE;Mikhail Baryshnikov;The Turning Point
1977;50;Actor in a Supporting Role;FALSE;Peter Firth;Equus
1977;50;Actor in a Supporting Role;FALSE;Alec Guinness;Star Wars
1977;50;Actor in a Supporting Role;TRUE;Jason Robards;Julia
1977;50;Actor in a Supporting Role;FALSE;Maximilian Schell;Julia
1977;50;Actress in a Leading Role;FALSE;Anne Bancroft;The Turning Point
1977;50;Actress in a Leading Role;FALSE;Jane Fonda;Julia
1977;50;Actress in a Leading Role;TRUE;Diane Keaton;Annie Hall
1977;50;Actress in a Leading Role;FALSE;Shirley MacLaine;The Turning Point
1977;50;Actress in a Leading Role;FALSE;Marsha Mason;The Goodbye Girl
1977;50;Actress in a Supporting Role;FALSE;Leslie Browne;The Turning Point
1977;50;Actress in a Supporting Role;FALSE;Quinn Cummings;The Goodbye Girl
1977;50;Actress in a Supporting Role;FALSE;Melinda Dillon;Close Encounters of the Third Kind
1977;50;Actress in a Supporting Role;TRUE;Vanessa Redgrave;Julia
1977;50;Actress in a Supporting Role;FALSE;Tuesday Weld;Looking for Mr. Goodbar
1977;50;Art Direction;FALSE;Airport '77 ;"Art Direction: George C. Webb; Set Decoration: Mickey S. Michaels"
1977;50;Art Direction;FALSE;Close Encounters of the Third Kind ;"Art Direction: Joe Alves, Dan Lomino; Set Decoration: Phil Abramson"
1977;50;Art Direction;FALSE;The Spy Who Loved Me ;"Art Direction: Ken Adam, Peter Lamont; Set Decoration: Hugh Scaife"
1977;50;Art Direction;TRUE;Star Wars ;"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian"
1977;50;Art Direction;FALSE;The Turning Point ;"Art Direction: Albert Brenner; Set Decoration: Marvin March"
1977;50;Cinematography;TRUE;Close Encounters of the Third Kind ;Vilmos Zsigmond
1977;50;Cinematography;FALSE;Islands in the Stream ;Fred J. Koenekamp
1977;50;Cinematography;FALSE;Julia ;Douglas Slocombe
1977;50;Cinematography;FALSE;Looking for Mr. Goodbar ;William A. Fraker
1977;50;Cinematography;FALSE;The Turning Point ;Robert Surtees
1977;50;Costume Design;FALSE;Airport '77 ;Edith Head, Burton Miller
1977;50;Costume Design;FALSE;Julia ;Anthea Sylbert
1977;50;Costume Design;FALSE;A Little Night Music ;Florence Klotz
1977;50;Costume Design;FALSE;The Other Side of Midnight ;Irene Sharaff
1977;50;Costume Design;TRUE;Star Wars ;John Mollo
1977;50;Directing;TRUE;Annie Hall ;Woody Allen
1977;50;Directing;FALSE;Close Encounters of the Third Kind ;Steven Spielberg
1977;50;Directing;FALSE;Julia ;Fred Zinnemann
1977;50;Directing;FALSE;Star Wars ;George Lucas
1977;50;Directing;FALSE;The Turning Point ;Herbert Ross
1977;50;Documentary (Feature);FALSE;The Children of Theatre Street ;Robert Dornhelm and Earle Mack, Producers
1977;50;Documentary (Feature);FALSE;High Grass Circus ;Bill Brind, Torben Schioler and Tony Ianzelo, Producers
1977;50;Documentary (Feature);FALSE;Homage to Chagall--The Colours of Love ;Harry Rasky, Producer
1977;50;Documentary (Feature);FALSE;Union Maids ;James Klein, Julia Reichert and Miles Mogulescu, Producers
1977;50;Documentary (Feature);TRUE;Who Are the DeBolts? And Where Did They Get Nineteen Kids? ;John Korty, Dan McCann and Warren L. Lockhart, Producers
1977;50;Documentary (Short Subject);FALSE;Agueda Martinez: Our People, Our Country ;Moctesuma Esparza, Producer
1977;50;Documentary (Short Subject);FALSE;First Edition ;Helen Whitney and DeWitt L. Sage, Jr., Producers
1977;50;Documentary (Short Subject);TRUE;Gravity Is My Enemy ;John Joseph and Jan Stussy, Producers
1977;50;Documentary (Short Subject);FALSE;Of Time, Tombs and Treasure ;James R. Messenger and Paul N. Raimondi, Producers
1977;50;Documentary (Short Subject);FALSE;The Shetland Experience ;Douglas Gordon, Producer
1977;50;Film Editing;FALSE;Close Encounters of the Third Kind ;Michael Kahn
1977;50;Film Editing;FALSE;Julia ;Walter Murch
1977;50;Film Editing;FALSE;Smokey and the Bandit ;Walter Hannemann, Angelo Ross
1977;50;Film Editing;TRUE;Star Wars ;Paul Hirsch, Marcia Lucas, Richard Chew
1977;50;Film Editing;FALSE;The Turning Point ;William Reynolds
1977;50;Foreign Language Film;FALSE;Iphigenia ;Greece
1977;50;Foreign Language Film;TRUE;Madame Rosa ;France
1977;50;Foreign Language Film;FALSE;Operation Thunderbolt ;Israel
1977;50;Foreign Language Film;FALSE;A Special Day ;Italy
1977;50;Foreign Language Film;FALSE;That Obscure Object of Desire ;Spain
1977;50;Music (Original Score);FALSE;Close Encounters of the Third Kind ;John Williams
1977;50;Music (Original Score);FALSE;Julia ;Georges Delerue
1977;50;Music (Original Score);FALSE;Mohammad - Messenger of God ;Maurice Jarre
1977;50;Music (Original Score);FALSE;The Spy Who Loved Me ;Marvin Hamlisch
1977;50;Music (Original Score);TRUE;Star Wars ;John Williams
1977;50;Music (Original Song Score and Its Adaptation or Adaptation Score);TRUE;A Little Night Music ;Adaptation Score by Jonathan Tunick
