Year;Ceremony;Award;Winner;Name;Film
1930/1931;4;Cinematography;FALSE;The Right to Love ;Charles Lang
1930/1931;4;Cinematography;FALSE;Svengali ;Barney Chick McGill
1930/1931;4;Cinematography;TRUE;Tabu ;Floyd Crosby
1930/1931;4;Directing;FALSE;Cimarron ;Wesley Ruggles
1930/1931;4;Directing;FALSE;A Free Soul ;Clarence Brown
1930/1931;4;Directing;FALSE;The Front Page ;Lewis Milestone
1930/1931;4;Directing;FALSE;Morocco ;Josef Von Sternberg
1930/1931;4;Directing;TRUE;Skippy ;Norman Taurog
1930/1931;4;Outstanding Production;TRUE;Cimarron ;RKO Radio
1930/1931;4;Outstanding Production;FALSE;East Lynne ;Fox
1930/1931;4;Outstanding Production;FALSE;The Front Page ;The Caddo Company
1930/1931;4;Outstanding Production;FALSE;Skippy ;Paramount Publix
1930/1931;4;Outstanding Production;FALSE;Trader Horn ;Metro-Goldwyn-Mayer
1930/1931;4;Sound Recording;FALSE;Samuel Goldwyn - United Artists Studio Sound Department;
1930/1931;4;Sound Recording;FALSE;Metro-Goldwyn-Mayer Studio Sound Department;
1930/1931;4;Sound Recording;TRUE;Paramount Publix Studio Sound Department;
1930/1931;4;Sound Recording;FALSE;RKO Radio Studio Sound Department;
1930/1931;4;Writing (Adaptation);TRUE;Cimarron ;Howard Estabrook
1930/1931;4;Writing (Adaptation);FALSE;The Criminal Code ;Seton I. Miller, Fred Niblo, Jr.
1930/1931;4;Writing (Adaptation);FALSE;Holiday ;Horace Jackson
1930/1931;4;Writing (Adaptation);FALSE;Little Caesar ;Francis Faragoh, Robert N. Lee
1930/1931;4;Writing (Adaptation);FALSE;Skippy ;Joseph L. Mankiewicz, Sam Mintz
1930/1931;4;Writing (Original Story);TRUE;The Dawn Patrol ;John Monk Saunders
1930/1931;4;Writing (Original Story);FALSE;The Doorway to Hell ;Rowland Brown
1930/1931;4;Writing (Original Story);FALSE;Laughter ;Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart
1930/1931;4;Writing (Original Story);FALSE;The Public Enemy ;John Bright, Kubec Glasmon
1930/1931;4;Writing (Original Story);FALSE;Smart Money ;Lucien Hubbard, Joseph Jackson
1931/1932;5;Actor;TRUE;Wallace Beery;The Champ
1931/1932;5;Actor;FALSE;Alfred Lunt;The Guardsman
1931/1932;5;Actor;TRUE;Fredric March;Dr. Jekyll and Mr. Hyde
1931/1932;5;Actress;FALSE;Marie Dressler;Emma
1931/1932;5;Actress;FALSE;Lynn Fontanne;The Guardsman
1931/1932;5;Actress;TRUE;Helen Hayes;The Sin of Madelon Claudet
1931/1932;5;Art Direction;FALSE;À Nous la Liberté ;Lazare Meerson
1931/1932;5;Art Direction;FALSE;Arrowsmith ;Richard Day
1931/1932;5;Art Direction;TRUE;Transatlantic ;Gordon Wiles
1931/1932;5;Cinematography;FALSE;Arrowsmith ;Ray June
1931/1932;5;Cinematography;FALSE;Dr. Jekyll and Mr. Hyde ;Karl Struss
1931/1932;5;Cinematography;TRUE;Shanghai Express ;Lee Garmes
1931/1932;5;Directing;TRUE;Bad Girl ;Frank Borzage
1931/1932;5;Directing;FALSE;The Champ ;King Vidor
1931/1932;5;Directing;FALSE;Shanghai Express ;Josef Von Sternberg
1931/1932;5;Outstanding Production;FALSE;Arrowsmith ;Samuel Goldwyn Productions
1931/1932;5;Outstanding Production;FALSE;Bad Girl ;Fox
1931/1932;5;Outstanding Production;FALSE;The Champ ;Metro-Goldwyn-Mayer
1931/1932;5;Outstanding Production;FALSE;Five Star Final ;First National
1931/1932;5;Outstanding Production;TRUE;Grand Hotel ;Metro-Goldwyn-Mayer
1931/1932;5;Outstanding Production;FALSE;One Hour with You ;Paramount Publix
1931/1932;5;Outstanding Production;FALSE;Shanghai Express ;Paramount Publix
1931/1932;5;Outstanding Production;FALSE;The Smiling Lieutenant ;Paramount Publix
1931/1932;5;Short Subject (Cartoon);TRUE;Flowers and Trees ;Walt Disney, Producer
1931/1932;5;Short Subject (Cartoon);FALSE;It's Got Me Again ;Leon Schlesinger, Producer
1931/1932;5;Short Subject (Cartoon);FALSE;Mickey's Orphans ;Walt Disney, Producer
1931/1932;5;Short Subject (Comedy);FALSE;The Loud Mouth ;Mack Sennett, Producer
1931/1932;5;Short Subject (Comedy);TRUE;The Music Box ;Hal Roach, Producer
1931/1932;5;Short Subject (Comedy);FALSE;Scratch-As-Catch-Can ;RKO Radio
1931/1932;5;Short Subject (Comedy);FALSE;Stout Hearts and Willing Hands ;RKO Radio
1931/1932;5;Short Subject (Novelty);FALSE;Screen Souvenirs ;Paramount Publix
1931/1932;5;Short Subject (Novelty);FALSE;Swing High ;Metro-Goldwyn-Mayer
1931/1932;5;Short Subject (Novelty);TRUE;Wrestling Swordfish ;Mack Sennett, Producer
1931/1932;5;Sound Recording;FALSE;Metro-Goldwyn-Mayer Studio Sound Department;
1931/1932;5;Sound Recording;TRUE;Paramount Publix Studio Sound Department;
1931/1932;5;Sound Recording;FALSE;RKO Radio Studio Sound Department;
1931/1932;5;Sound Recording;FALSE;Warner Brothers-First National Studio Sound Department;
1931/1932;5;Writing (Adaptation);FALSE;Arrowsmith ;Sidney Howard
1931/1932;5;Writing (Adaptation);TRUE;Bad Girl ;Edwin Burke
1931/1932;5;Writing (Adaptation);FALSE;Dr. Jekyll and Mr. Hyde ;Percy Heath, Samuel Hoffenstein
1931/1932;5;Writing (Original Story);TRUE;The Champ ;Frances Marion
1931/1932;5;Writing (Original Story);FALSE;Lady and Gent ;Grover Jones, William Slavens McNutt
1931/1932;5;Writing (Original Story);FALSE;The Star Witness ;Lucien Hubbard
1931/1932;5;Writing (Original Story);FALSE;What Price Hollywood? ;Adela Rogers St. Johns, Jane Murfin
1931/1932;5;Special Award;TRUE;Walt Disney;“Mickey Mouse”
1932/1933;6;Actor;FALSE;Leslie Howard;Berkeley Square
1932/1933;6;Actor;TRUE;Charles Laughton;The Private Life of Henry VIII
1932/1933;6;Actor;FALSE;Paul Muni;I Am a Fugitive from a Chain Gang
1932/1933;6;Actress;TRUE;Katharine Hepburn;Morning Glory
1932/1933;6;Actress;FALSE;May Robson;Lady for a Day
1932/1933;6;Actress;FALSE;Diana Wynyard;Cavalcade
1932/1933;6;Art Direction;TRUE;Cavalcade ;William S. Darling
